JDK,GC_OPTS,VM_OPTS,PROG_OPTS,BINDING,DATA,RunTimestamp,Class,MedianRuntimeMs,Checksum,PerfRuntimeMs,JfrRuntimeMs,Instructions,Cycles,Branches,BranchMisses,L1Misses,LLCMisses,PageFaults,TaskClock,ContextSwitches,CpuMigrations,IPC,SecElapsed,SecUser,SecSys,GcPauseMs,AllocatedBytes,JitCompilationMs,GcPauseMs,AllocatedBytes,JitCompilationMs,GcPauseMs,AllocatedBytes,JitCompilationMs
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-220316,org.onebrc.again26.BRC048_ImprovedStringHandling,95,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,97,72,1108860522,1013489549,204849084,10215599,28410814,21193988,10341,631531954,801,29,1.09,0.38,0.51,0.16,0,21876336,0,0,21876336,0,0,21876336,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-220316,org.onebrc.again26.BRC049_ManualMinMax,93,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,62,56,1118474344,1130859158,214393985,10501011,30634957,22088070,10436,357953073,883,21,0.99,0.22,0.29,0.09,0,21880056,0,0,21880056,0,0,21880056,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-220316,org.onebrc.again26.BRC050_LargerSet,80,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,67,50,1064954130,1095134205,203582138,10005607,29283162,21729248,10444,400298508,950,27,0.97,0.26,0.32,0.11,0,21880064,0,0,21880064,0,0,21880064,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-220316,org.onebrc.again26.BRC060_ReadingBytes,46,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,72,46,1071190669,1201566806,204242156,9822615,27212753,20385993,10549,440758616,613,17,0.89,0.27,0.37,0.09,0,21878920,0,0,21878920,0,0,21878920,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-220316,org.onebrc.again26.BRC061_RandomAccessFile,45,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,42,39,935977890,982240922,177877287,9092052,26450172,18679393,9678,336612798,571,19,0.95,0.22,0.26,0.10,0,21879992,0,0,21879992,0,0,21879992,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-220316,org.onebrc.again26.BRC063_OneAddLess,47,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,46,40,964586503,945491030,182915289,8961518,23764476,19246274,9740,329264724,634,15,1.02,0.22,0.26,0.10,0,21876112,0,0,21876112,0,0,21876112,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-220316,org.onebrc.again26.BRC065_OneLoopLess,40,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,39,36,937622089,977349241,182568966,9005365,25569278,19775800,10189,312828187,609,14,0.96,0.21,0.26,0.08,0,21878896,0,0,21878896,0,0,21878896,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-220316,org.onebrc.again26.BRC067_ParseDifferently,38,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,37,44,967102393,987294895,178726752,9287954,27309389,18934060,9964,316544107,825,20,0.98,0.20,0.25,0.09,0,21879896,0,0,21879896,0,0,21879896,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-220316,org.onebrc.again26.BRC068_InlineParsing,37,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,40,41,977242681,974802367,178114294,9003112,24019426,18476581,10201,338542714,586,30,1.00,0.21,0.27,0.09,0,21879872,0,0,21879872,0,0,21879872,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-220316,org.onebrc.again26.BRC069_InlineParsing_65,39,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,40,46,974861873,956530174,175470883,9012760,23880393,17992820,10177,309680206,566,15,1.02,0.20,0.25,0.08,0,21876320,0,0,21876320,0,0,21876320,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-220316,org.onebrc.again26.BRC070_EqualsCity,38,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,37,37,964794234,892904469,177667798,8874696,22582293,17430146,10064,288741474,575,12,1.08,0.18,0.22,0.09,0,21878888,0,0,21878888,0,0,21878888,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-220316,org.onebrc.again26.BRC072_ReadDirectNotViaBuffer,36,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,37,93,918864507,902229016,172706474,8675240,23130703,18245788,9451,290623260,604,18,1.02,0.19,0.24,0.08,0,21876168,0,0,21876168,0,0,21876168,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-220316,org.onebrc.again26.BRC075_LargeByteBuffer,79,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,74,66,917617034,847252383,171945076,8822398,22934645,18621141,9983,529604240,618,22,1.08,0.36,0.41,0.16,0,21876248,0,0,21876248,0,0,21876248,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-220316,org.onebrc.again26.BRC077_LessAdditions,52,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,53,49,939541266,1029864862,171560287,9173614,27223976,19684428,9991,340518044,640,22,0.91,0.22,0.28,0.08,0,21876216,0,0,21876216,0,0,21876216,0
